画像ファイル名,名前,サンゴリアス,日本人,ポジション
ishihara.jpg,石原 慎太郎,サンゴリアス,1,PR
kakinaga.jpg,垣永 真之介,サンゴリアス,1,PR
morikawa.jpg,森川 由起乙,サンゴリアス,1,PR
nakano.jpg,中野 幹,サンゴリアス,1,PR
kobayashi_k.jpg,小林 賢太,サンゴリアス,1,PR
hosoki.jpg,細木 康太郎,サンゴリアス,1,PR
william.jpg,ウィリアム ヘイ,サンゴリアス,0,PR
oga.jpg,大賀 宗志,サンゴリアス,1,PR
yamamoto_a.jpg,山本 敦輝,サンゴリアス,1,PR
bradley.jpg,ブラッドリー クーン,サンゴリアス,0,PR
kihara.jpg,木原 三四郎,サンゴリアス,1,PR
oketani.jpg,桶谷 宗汰,サンゴリアス,1,HO
horikoshi.jpg,堀越 康介,サンゴリアス,1,HO
go.jpg,呉 季依典,サンゴリアス,1,HO
miyazaki.jpg,宮﨑 達也,サンゴリアス,1,HO
doichi.jpg,土一 海人,サンゴリアス,1,HO
alex.jpg,アレックス マフィ,サンゴリアス,0,HO
hirao.jpg,平生 翔大,サンゴリアス,1,HO
kobayashi.jpg,小林 航,サンゴリアス,1,LO
harry.jpg,ハリー ホッキングス,サンゴリアス,0,LO
katakura.jpg,片倉 康瑛,サンゴリアス,1,LO
callum.jpg,カラム マクドナルド,サンゴリアス,0,LO
saimoni.jpg,サイモニ ブニランギ,サンゴリアス,0,LO
sam.jpg,サム ジェフリーズ,サンゴリアス,0,LO
trevor.jpg,トレヴァ ホゼア,サンゴリアス,0,LO
lachlan.jpg,ロックラン オズボーン,サンゴリアス,0,LO
iino.jpg,飯野 晃司,サンゴリアス,1,FL/No.8
sean.jpg,ショーン マクマーン,サンゴリアス,0,FL/No.8
hashimoto.jpg,箸本 龍雅,サンゴリアス,1,FL/No.8
shimokawa.jpg,下川 甲嗣,サンゴリアス,1,FL/No.8
yamamoto.jpg,山本 凱,サンゴリアス,1,FL/No.8
sagara.jpg,相良 昌彦,サンゴリアス,1,FL/No.8
sione.jpg,シオネ ラベマイ,サンゴリアス,0,FL/No.8
tamati.jpg,タマティ イオアネ,サンゴリアス,0,FL/No.8
sam_c.jpg,サム ケイン,サンゴリアス,0,FL/No.8
pierich.jpg,ピエリッチ シーバート,サンゴリアス,0,FL/No.8
patrick.jpg,パトリック ヴァカタ,サンゴリアス,0,FL/No.8
nagare.jpg,流 大,サンゴリアス,1,SH
okoshi.jpg,大越 元気,サンゴリアス,1,SH
kimura.jpg,木村 貴大,サンゴリアス,1,SH
oka_s.jpg,岡 新之助タフォキタウ,サンゴリアス,0,SH
fukuda.jpg,福田 健太,サンゴリアス,1,SH
max.jpg,マックス ヒューズ,サンゴリアス,0,SH
miyao.jpg,宮尾 昌典,サンゴリアス,1,SH
takamoto.jpg,髙本 幹也,サンゴリアス,1,SO
nakazuru.jpg,中靍 隆彰,サンゴリアス,1,WTB
emi.jpg,江見 翔太,サンゴリアス,1,WTB
ozaki.jpg,尾﨑 晟也,サンゴリアス,1,WTB
niguma.jpg,仁熊 秀斗,サンゴリアス,1,WTB
kawase.jpg,河瀬 諒介,サンゴリアス,1,WTB
cheslin.jpg,チェスリン コルビ,サンゴリアス,0,WTB
sione_taposi.jpg,シオネ タプオシ,サンゴリアス,0,WTB
yasuda.jpg,安田 昂平,サンゴリアス,1,WTB
nakamura_r.jpg,中村 亮土,サンゴリアス,1,CTB
nakano_s.jpg,中野 将伍,サンゴリアス,1,CTB
ozaki_t.jpg,尾﨑 泰雅,サンゴリアス,1,CTB
isaiah.jpg,イザヤ プニヴァイ,サンゴリアス,0,CTB
joe.jpg,ジョー カマナ,サンゴリアス,0,CTB
matsushima.jpg,松島 幸太朗,サンゴリアス,1,FB
moriya.jpg,森谷 圭介,サンゴリアス,1,UTB
tony.jpg,トニー アロフィポ,サンゴリアス,0,UTB
